Ticker,Name,MarketCap,Market
138040,메리츠금융지주,112229억,코스피
022100,포스코DX,73433억,코스닥
086900,메디톡스,18100억,코스닥
001740,SK네트웍스,17070억,코스피
192820,코스맥스,16911억,코스피
003230,삼양식품,14305억,코스피
073240,금호타이어,13860억,코스피
161890,한국콜마,13088억,코스피
336570,원텍,12397억,코스닥
011810,STX,11175억,코스피
091120,이엠텍,9629억,코스닥
087010,펩트론,9323억,코스닥
036830,솔브레인홀딩스,7956억,코스닥
025980,아난티,7349억,코스닥
352480,씨앤씨인터내셔널,7030억,코스닥
068400,SK렌터카,6346억,코스피
006730,서부T&D,5904억,코스닥
338220,뷰노,5861억,코스닥
243070,휴온스,5663억,코스닥
083310,엘오티베큠,5655억,코스닥
005180,빙그레,5379억,코스피
082920,비츠로셀,5067억,코스닥
044490,태웅,4762억,코스닥
122640,예스티,4602억,코스닥
206640,바디텍메드,4542억,코스닥
103590,일진전기,4413억,코스피
018290,브이티,4308억,코스닥
040300,YTN,3965억,코스닥
214680,디알텍,3746억,코스닥
003570,SNT다이내믹스,3641억,코스피
025320,시노펙스,3581억,코스닥
204620,글로벌텍스프리,3507억,코스닥
026890,스틱인베스트먼트,3234억,코스피
060590,씨티씨바이오,3185억,코스닥
051360,토비스,3167억,코스닥
078150,HB테크놀러지,2649억,코스닥
007210,벽산,2448억,코스피
114840,아이패밀리에스씨,2382억,코스닥
382800,지앤비에스 에코,2161억,코스닥
013570,디와이,2042억,코스피
003720,삼영,1897억,코스피
079960,동양이엔피,1886억,코스닥
069540,라이트론,1464억,코스닥
222040,코스맥스엔비티,1370억,코스닥
004100,태양금속,1204억,코스피
044820,코스맥스비티아이,1085억,코스피
196300,애니젠,1036억,코스닥
380440,엔에이치스팩19호,1035억,코스피
336060,웨이버스,987억,코스닥
043260,성호전자,960억,코스닥
038060,루멘스,732억,코스닥
340360,다보링크,670억,코스닥
323230,엠에프엠코리아,404억,코스닥
366330,신한제7호스팩,325억,코스닥
367480,유안타제8호스팩,256억,코스닥
367360,DB금융스팩9호,148억,코스닥
